2015-11-14 23:47:21,I will never forget this moment.😔❤️❤️🍷🍷🍷 @ The Eiffel Tower / La Tour Eiffel https://t.co/vYpCNTEsI8,[],"Paris, Ile-de-France,France",SALCEDO.ST
2015-11-14 23:47:01,@Arit0bi @DexertoPS4 @ScrimsVite @SFCO_eSport test Now ?,[],"Argenteuil, Ile-de-France,France","Paris, Ile-de-France"
2015-11-14 23:46:53,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,
2015-11-14 23:46:43,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,❤️Paris❤️
2015-11-14 23:46:25,"All they Need is Love #prayforparis#france @ Paris, France https://t.co/XPlthrxx40",[],"Paris, Ile-de-France,France",
2015-11-14 23:46:24,#prayforparis #prayforpeace #prayforawakening we were in #Paris just barely 6 weeks ago watching this… https://t.co/7VCM3el2J8,"['prayforparis', 'prayforpeace', 'prayforawakening', 'Paris']","Paris, Ile-de-France,France","Daylesford, Victoria"
2015-11-14 23:46:23,"This is what you cannot kill, this is what will ultimately be victorious @ Musée du Louvre https://t.co/RhHWgl2NwQ",[],"Paris, Ile-de-France,France",
2015-11-14 23:46:18,"I'll never forget how incredibly lucky I was to be in Paris on Bastille Day, to watch the Eiffel… https://t.co/siKPX5W5G2",[],"Paris, Ile-de-France,France","Montreal, QC"
2015-11-14 23:45:21,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,
2015-11-14 23:44:48,"Paris, vous serez toujours mon ""city of Light"". ❤️ this is a picture of lit-up trees along the… https://t.co/w6c9LusucG",[],"Paris, Ile-de-France,France",NYC
2015-11-14 23:44:26,I'd the lucky chance to explore #Paris on my own and fell absolutely in love with their food and… https://t.co/hBXAFAILdU,['Paris'],"Paris, Ile-de-France,France",A Dallas gal in ATX
2015-11-14 23:44:18,Did you know that 'François Molins' was Trending Topic on Saturday 14 for 4 hours in Paris? https://t.co/kFm0vz13zX #trndnl,['trndnl'],"Paris, Ile-de-France,France","Paris, France"
2015-11-14 23:43:49,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Belgium (Namur)
2015-11-14 23:43:33,"Touching scenes at Place de la République this evening. Hundreds of candles, flowers, teddies and… https://t.co/ihPqLbxEVK",[],"Paris, Ile-de-France,France","Paris, Ile-de-France"
2015-11-14 23:43:17,"On Saturday 14, #UneBougiePourParis was Trending Topic in France for 5 hours: https://t.co/O4xDsn6cbL #trndnl","['UneBougiePourParis', 'trndnl']","Paris, Ile-de-France,France",France
2015-11-14 23:42:53,"Let's pray for France. @ Paris, France https://t.co/tJsOQtTaFO",[],"Paris, Ile-de-France,France",New York City-London
2015-11-14 23:42:36,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,France
2015-11-14 23:42:32,It's absolutely mind blowing that something so tragic could happen to… https://t.co/lBiuWfRhR6,[],"Paris, Ile-de-France,France",Uconn
2015-11-14 23:42:17,"Just posted a photo @ Belleville, Paris https://t.co/fzXegMcRvC",[],"Paris, Ile-de-France,France",
2015-11-14 23:42:02,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Suresnes / La Rochelle
2015-11-14 23:41:58,@deray @SankofaBrown Why are #YouPeople talking in some sort of #BlackTwitter code? #onhere,"['YouPeople', 'BlackTwitter', 'onhere']","Paris, Ile-de-France,France",Somewhere in FIFA 16
2015-11-14 23:40:56,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,
2015-11-14 23:40:44,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,"Leicester, England"
2015-11-14 23:40:31,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Lyon
2015-11-14 23:40:00,"Just a couple years ago, around this time of year, I was happily wandering all around Paris with… https://t.co/c9Nqi8r4Wf",[],"Paris, Ile-de-France,France",
2015-11-14 23:40:00,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,"Washington, DC"
2015-11-14 23:39:43,RT @AWeberGuillouet: @attilux blague?,[],NA,
2015-11-14 23:39:31,"Peace, please! #🇫🇷 #PrayforParis #PeaceforParis @ Paris, France https://t.co/x3tMjpzsSI","['PrayforParis', 'PeaceforParis']","Paris, Ile-de-France,France","Porto Alegre, Brazil"
2015-11-14 23:39:22,Just posted a photo @ Square De La Liberation Drancy https://t.co/6CtYSsOcQk,[],"Drancy, Ile-de-France,France",paris 93                 corse
2015-11-14 23:38:58,With you Paris !! #prayforparis #paris#peace #newyork #alexvinash #love#loveparis @ Tour Eiffel https://t.co/CvsrCExFmi,"['prayforparis', 'newyork', 'alexvinash']","Paris, Ile-de-France,France","Nueva York, USA"
2015-11-14 23:38:41,@attilux blague?,[],"Le Kremlin-Bicêtre, Ile-de-France,France",Conseiller communautaire CAVB
2015-11-14 23:38:26,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Grenoble
2015-11-14 23:38:22,Reclining with the #painting at the #Louvre #museum on #friday13 afternoon #art #therapy #Paris. @… https://t.co/VvO0rJ8ZQb,"['painting', 'Louvre', 'museum', 'friday13', 'art', 'therapy', 'Paris']","Paris, Ile-de-France,France","Paris, France"
2015-11-14 23:37:54,"I'm a Muslim Tourist and i love Allan ackbars 

#_XoShaniqua #twitter muslimtourist #allenackbars… https://t.co/ZakX5hAUMr","['_XoShaniqua', 'twitter', 'allenackbars']","Paris, Ile-de-France,France","T2 INTELLIGENCE , SINGAPORE"
2015-11-14 23:37:05,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,
2015-11-14 23:37:05,"Streaming from Paris on the day after. Despite the ban on public meetings, many people gathered at… https://t.co/jwefVv6Pa4",[],"Paris, Ile-de-France,France",Milano
2015-11-14 23:36:51,"""Love Paris"" By Julie Jaler Creation 2015 - #Paris #artwork #painting #gallery #loveparis… https://t.co/wmIDgrxcO2","['Paris', 'artwork', 'painting', 'gallery', 'loveparis']","Paris, Ile-de-France,France",Paris
2015-11-14 23:36:30,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Paris
2015-11-14 23:36:29,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,93
2015-11-14 23:36:26,I'm at eugene cafe https://t.co/WShVFzZX5f,[],"Paris, Ile-de-France,France",PARIS-LDN-BCN-MILANO-MRS (FR)
